"FIPS","Year","Group","Value","MOE"
"0900722490",2010,"Total Living with Two Parents, Neither in Work Force",9,123.91125856838
"0900726270",2010,"Total Children",1357,195
"0900726270",2010,"Total Living with One Parent",200,108.07404868885
"0900726270",2010,"Total Living with One Parent, Not in Work Force",49,221.880598520916
"0900726270",2010,"Total Living with Two Parents",1157,192.262840923565
"0900726270",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900735230",2010,"Total Children",1896,283.876733812407
"0900735230",2010,"Total Living with One Parent",331,143.279447235115
"0900735230",2010,"Total Living with One Parent, Not in Work Force",109,198.068170082929
"0900735230",2010,"Total Living with Two Parents",1565,283.451935960931
"0900735230",2010,"Total Living with Two Parents, Neither in Work Force",20,127.349911660747
"0900740710",2010,"Total Children",1684,197.091349378911
"0900740710",2010,"Total Living with One Parent",162,105.118980208143
"0900740710",2010,"Total Living with One Parent, Not in Work Force",0,246
"0900740710",2010,"Total Living with Two Parents",1522,212.849712238471
"0900740710",2010,"Total Living with Two Parents, Neither in Work Force",46,140.064270961584
"0900747080",2010,"Total Children",1150,156.984075625523
"0900747080",2010,"Total Living with One Parent",385,156.310588253003
"0900747080",2010,"Total Living with One Parent, Not in Work Force",0,246
"0900747080",2010,"Total Living with Two Parents",765,140.427917452336
"0900747080",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900747360",2010,"Total Children",9228,567.607258586428
"0900747360",2010,"Total Living with One Parent",3535,485.242207562368
"0900747360",2010,"Total Living with One Parent, Not in Work Force",478,228.409719583033
"0900747360",2010,"Total Living with Two Parents",5693,557.29704826062
"0900747360",2010,"Total Living with Two Parents, Neither in Work Force",79,65.8559033041078
"0900757320",2010,"Total Children",1975,281.257888778253
"0900757320",2010,"Total Living with One Parent",646,231.976291892081
"0900757320",2010,"Total Living with One Parent, Not in Work Force",92,150.2597750564
"0900757320",2010,"Total Living with Two Parents",1329,204.899975597851
"0900757320",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900761800",2010,"Total Children",2217,265.188612123522
"0900761800",2010,"Total Living with One Parent",574,189.52836199366
"0900761800",2010,"Total Living with One Parent, Not in Work Force",118,151.518975709315
"0900761800",2010,"Total Living with Two Parents",1643,253.242966338653
"0900761800",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900781680",2010,"Total Children",1394,201.93563330923
"0900781680",2010,"Total Living with One Parent",340,154.184953870344
"0900781680",2010,"Total Living with One Parent, Not in Work Force",44,224.247630979683
"0900781680",2010,"Total Living with Two Parents",1054,215.232432500309
"0900781680",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900900000",2010,"Total Children",0,173.948268171891
"0900900000",2010,"Total Living with One Parent",0,173.948268171891
"0900900000",2010,"Total Living with One Parent, Not in Work Force",0,246
"0900900000",2010,"Total Living with Two Parents",0,173.948268171891
"0900900000",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900901220",2010,"Total Children",4216,495.035352272946
"0900901220",2010,"Total Living with One Parent",1444,371.636919586846
"0900901220",2010,"Total Living with One Parent, Not in Work Force",312,226.784038239026
"0900901220",2010,"Total Living with Two Parents",2772,411.538576563607
"0900901220",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900903250",2010,"Total Children",1374,252.606413220251
"0900903250",2010,"Total Living with One Parent",361,154.651220493082
"0900903250",2010,"Total Living with One Parent, Not in Work Force",32,177.555625086901
"0900903250",2010,"Total Living with Two Parents",1013,237.739353073907
"0900903250",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900904580",2010,"Total Children",1374,147.271857460956
"0900904580",2010,"Total Living with One Parent",222,131.575073627188
"0900904580",2010,"Total Living with One Parent, Not in Work Force",42,219.296602800864
"0900904580",2010,"Total Living with Two Parents",1152,186.796680912697
"0900904580",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900907310",2010,"Total Children",5016,403.633497123319
"0900907310",2010,"Total Living with One Parent",1335,248.509557160283
"0900907310",2010,"Total Living with One Parent, Not in Work Force",179,212.327577106696
"0900907310",2010,"Total Living with Two Parents",3681,384.802546769119
"0900907310",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900914160",2010,"Total Children",6833,374.646500050381
"0900914160",2010,"Total Living with One Parent",661,167.263265542677
"0900914160",2010,"Total Living with One Parent, Not in Work Force",27,216.764849548999
"0900914160",2010,"Total Living with Two Parents",6172,363.324923450071
"0900914160",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900919550",2010,"Total Children",2632,381.424959854491
"0900919550",2010,"Total Living with One Parent",1154,349.818524380857
"0900919550",2010,"Total Living with One Parent, Not in Work Force",136,290.16547003391
"0900919550",2010,"Total Living with Two Parents",1478,320.538609218921
"0900919550",2010,"Total Living with Two Parents, Neither in Work Force",106,154.201167310757
"0900922910",2010,"Total Children",5565,443.625968581642
"0900922910",2010,"Total Living with One Parent",2123,469.180135981906
"0900922910",2010,"Total Living with One Parent, Not in Work Force",290,148.226178524578
"0900922910",2010,"Total Living with Two Parents",3442,367.396243856684
"0900922910",2010,"Total Living with Two Parents, Neither in Work Force",167,97.082439194738
"0900934950",2010,"Total Children",5226,350.453991274176
"0900934950",2010,"Total Living with One Parent",561,173.141560579775
"0900934950",2010,"Total Living with One Parent, Not in Work Force",29,176.283861995362
"0900934950",2010,"Total Living with Two Parents",4665,338.096140173176
"0900934950",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900935650",2010,"Total Children",11466,711.75838597097
"0900935650",2010,"Total Living with One Parent",3283,462.265075470774
"0900935650",2010,"Total Living with One Parent, Not in Work Force",242,198.620240660412
"0900935650",2010,"Total Living with Two Parents",8183,632.97551295449
"0900935650",2010,"Total Living with Two Parents, Neither in Work Force",73,71.5891053163818
"0900944560",2010,"Total Children",4840,353.510961640513
"0900944560",2010,"Total Living with One Parent",497,217.807254240992
"0900944560",2010,"Total Living with One Parent, Not in Work Force",0,246
"0900944560",2010,"Total Living with Two Parents",4343,331.905106920638
"0900944560",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900946520",2010,"Total Children",13518,781.661051863274
"0900946520",2010,"Total Living with One Parent",5797,605.082638984131
"0900946520",2010,"Total Living with One Parent, Not in Work Force",939,321.021806112918
"0900946520",2010,"Total Living with Two Parents",7721,657.340855264603
"0900946520",2010,"Total Living with Two Parents, Neither in Work Force",72,55.0817574156816
"0900946940",2010,"Total Children",1725,205.854317418897
"0900946940",2010,"Total Living with One Parent",217,115.91807451817
"0900946940",2010,"Total Living with One Parent, Not in Work Force",0,246
"0900946940",2010,"Total Living with Two Parents",1508,180
"0900946940",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900947535",2010,"Total Children",11143,549.604403184691
"0900947535",2010,"Total Living with One Parent",2178,343.90841804178
"0900947535",2010,"Total Living with One Parent, Not in Work Force",268,107.69865365918
"0900947535",2010,"Total Living with Two Parents",8965,548.252678972023
"0900947535",2010,"Total Living with Two Parents, Neither in Work Force",53,134.331679063429
"0900949950",2010,"Total Children",7107,474.151874403128
"0900949950",2010,"Total Living with One Parent",2182,413.226330235623
"0900949950",2010,"Total Living with One Parent, Not in Work Force",323,207.581309370569
"0900949950",2010,"Total Living with Two Parents",4925,486.728877302344
"0900949950",2010,"Total Living with Two Parents, Neither in Work Force",93,80.7774721070176
"0900952070",2010,"Total Children",27235,998.180845338158
"0900952070",2010,"Total Living with One Parent",16109,891.696136584655
"0900952070",2010,"Total Living with One Parent, Not in Work Force",3717,688.750317604282
"0900952070",2010,"Total Living with Two Parents",11126,858.02389244123
"0900952070",2010,"Total Living with Two Parents, Neither in Work Force",214,139.785550040052
"0900953890",2010,"Total Children",2846,384.105454270048
"0900953890",2010,"Total Living with One Parent",534,255.51907952245
"0900953890",2010,"Total Living with One Parent, Not in Work Force",0,246
"0900953890",2010,"Total Living with Two Parents",2312,362.04143409284
"0900953890",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900954870",2010,"Total Children",5012,370.033782241568
"0900954870",2010,"Total Living with One Parent",977,345.626966540518
"0900954870",2010,"Total Living with One Parent, Not in Work Force",38,179.496518072078
"0900954870",2010,"Total Living with Two Parents",4035,282.24280327406
"0900954870",2010,"Total Living with Two Parents, Neither in Work Force",30,34.6698716467194
"0900957600",2010,"Total Children",3226,297.833846296891
"0900957600",2010,"Total Living with One Parent",344,153.941547348336
"0900957600",2010,"Total Living with One Parent, Not in Work Force",0,246
"0900957600",2010,"Total Living with Two Parents",2882,283.804510182626
"0900957600",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900958300",2010,"Total Children",2933,217.039166972231
"0900958300",2010,"Total Living with One Parent",346,136.077183980269
"0900958300",2010,"Total Living with One Parent, Not in Work Force",62,181.215341513902
"0900958300",2010,"Total Living with Two Parents",2587,224.321198284959
"0900958300",2010,"Total Living with Two Parents, Neither in Work Force",37,43.081318457076
"0900962290",2010,"Total Children",2033,246.805591508782
"0900962290",2010,"Total Living with One Parent",377,160.704698126719
"0900962290",2010,"Total Living with One Parent, Not in Work Force",65,183.30030005431
"0900962290",2010,"Total Living with Two Parents",1656,243.952864299643
"0900962290",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900967610",2010,"Total Children",3511,317.855312996338
"0900967610",2010,"Total Living with One Parent",839,259.955765467896
"0900967610",2010,"Total Living with One Parent, Not in Work Force",84,197.433533119377
"0900967610",2010,"Total Living with Two Parents",2672,331.84333653096
"0900967610",2010,"Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900969640",2010,"Total Children",3915,482.215719362196
"0900969640",2010,"Total Living with One Parent",448,199.10047714659
"0900969640",2010,"Total Living with One Parent, Not in Work Force",105,253.83262201695
"0900969640",2010,"Total Living with Two Parents",3467,432.120353605335
"0900969640",2010,"Total Living with Two Parents, Neither in Work Force",69,150.658554353877
"0900978740",2010,"Total Children",9328,525.270406552663
"0900978740",2010,"Total Living with One Parent",2242,398.978696173117
"0900978740",2010,"Total Living with One Parent, Not in Work Force",395,213.384629249625
"0900978740",2010,"Total Living with Two Parents",7086,514.907758729658
"0900978740",2010,"Total Living with Two Parents, Neither in Work Force",38,132.774244490413
"0900980070",2010,"Total Children",27354,1094.51404742013
"0900980070",2010,"Total Living with One Parent",15439,1107.36669626642
"0900980070",2010,"Total Living with One Parent, Not in Work Force",3611,606.140247797488
